haus,ebene,raumnummer,büroarbeitsplätze,decke,brüstungskanal_bodentank,anmerkung
7/10,U1,1,--,2,0,
7/10,U1,2,--,2,,
7/10,U1,3,--,2,2,
7/10,U1,4,--,0,0,
7/10,U1,5,--,2,0,
7/10,U1,6,--,1,0,
7/10,U1,7,--,0,0,
7/10,U1,8,--,1,0,
7/10,U1,9,--,0,0,
7/10,U1,10,--,0,0,
7/10,U1,11,--,2,2,
7/10,U1,12,--,8,12,
7/10,U1,13,,2,8,
7/10,U1,14,--,2,10,rechenzentrum
7/10,0,1,1,2,6,
7/10,0,2,3,2,8,altverkabelung
7/10,0,3,2,2,6,altverkabelung
7/10,0,4,--,2,0,
7/10,0,5,--,1,0,
7/10,0,6,--,0,0,
7/10,0,7,--,1,0,
7/10,0,8,--,0,0,
7/10,0,9,--,0,0,
7/10,0,10,--,2,0,
7/10,0,11,--,2,0,
7/10,0,12,2,2,6,altverkabelung
7/10,0,13,--,6,4,mehr?
7/10,0,14,3,2,8,
7/10,0,15,3,2,8,
7/10,0,16,3,2,8,
7/10,0,17,2,6,2,
9,0,1,--,2,0,
9,0,2,--,0,0,
9,0,4,4,2,6,
9,0,3,2,4,12,mehr?
